,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
764,3415,39035177503,Census Tract 1775.03  Cuyahoga County  Ohio,41.376970799999995,-81.6949032,1.871539922343844
765,2454,39035101800,Census Tract 1018  Cuyahoga County  Ohio,41.4761994,-81.73895019999999,1.8743207122496215
766,3830,39151711321,Census Tract 7113.21  Stark County  Ohio,40.867467600000005,-81.44443559999999,1.874746212524141
767,3815,39035106100,Census Tract 1061  Cuyahoga County  Ohio,41.4449679,-81.72611309999999,1.8754218530383917
768,4103,39035177501,Census Tract 1775.01  Cuyahoga County  Ohio,41.396019700000004,-81.70506490000001,1.8756803885812328
769,2549,39013012000,Census Tract 120  Belmont County  Ohio,40.1096762,-80.7248511,1.8759990664020039
770,2217,39153505900,Census Tract 5059  Summit County  Ohio,41.037971999999996,-81.5366247,1.8760019336857034
771,6402,39151711600,Census Tract 7116  Stark County  Ohio,40.8136588,-81.4149297,1.877172455717695
772,4143,39013010100,Census Tract 101  Belmont County  Ohio,40.1214436,-80.7626756,1.8782114011321567
773,4147,39035106200,Census Tract 1062  Cuyahoga County  Ohio,41.4361448,-81.7241978,1.8797777477312383
774,4131,39151701300,Census Tract 7013  Stark County  Ohio,40.7920199,-81.4043432,1.8808001102798404
775,3472,39035177202,Census Tract 1772.02  Cuyahoga County  Ohio,41.4136979,-81.7165915,1.8845562982502655
776,4036,39035105100,Census Tract 1051  Cuyahoga County  Ohio,41.4543997,-81.7341726,1.884868252683544
777,5255,39153506100,Census Tract 5061  Summit County  Ohio,41.105615,-81.575039,1.884946741329009
778,1231,39013012100,Census Tract 121  Belmont County  Ohio,40.09810770000001,-80.71925300000001,1.885741622368994
779,3447,39151701100,Census Tract 7011  Stark County  Ohio,40.801844,-81.4151739,1.8894053680224068
780,2075,39035101101,Census Tract 1011.01  Cuyahoga County  Ohio,41.4817295,-81.748052,1.8903534153960049
781,2685,39035106500,Census Tract 1065  Cuyahoga County  Ohio,41.4261094,-81.7249439,1.8915524632884095
782,3240,39151702500,Census Tract 7025  Stark County  Ohio,40.778178999999994,-81.4025559,1.8916223193820092
783,3000,39153532502,Census Tract 5325.02  Summit County  Ohio,41.2223354,-81.63410340000001,1.8917424288787952
784,3347,39035102402,Census Tract 1024.02  Cuyahoga County  Ohio,41.467071600000004,-81.7428718,1.8927187432736454
785,2708,39035101700,Census Tract 1017  Cuyahoga County  Ohio,41.47570770000001,-81.746672,1.893095242436003
786,3934,39067975700,Census Tract 9757  Harrison County  Ohio,40.3744045,-81.1173881,1.895588141768412
787,2968,39153505500,Census Tract 5055  Summit County  Ohio,41.050353799999996,-81.552875,1.8956587002810055
