GEOID, POP, FULL_NAME, LAT, LON
39017001300,4688,Census Tract 13  Butler County  Ohio,39.4006044,-84.58847800000001
39017010101,7125,Census Tract 101.01  Butler County  Ohio,39.5119497,-84.74169509999999
39017010102,3044,Census Tract 101.02  Butler County  Ohio,39.5166755,-84.7647533
39017010103,5943,Census Tract 101.03  Butler County  Ohio,39.4918501,-84.7533865
39017010104,4942,Census Tract 101.04  Butler County  Ohio,39.5070402,-84.73452370000001
39017010201,2124,Census Tract 102.01  Butler County  Ohio,39.5057739,-84.7251507
39017010202,3979,Census Tract 102.02  Butler County  Ohio,39.4736842,-84.7780983
39017010203,5675,Census Tract 102.03  Butler County  Ohio,39.351401,-84.74937779999999
39017010301,4576,Census Tract 103.01  Butler County  Ohio,39.526101700000005,-84.5440247
39017010302,3645,Census Tract 103.02  Butler County  Ohio,39.5188631,-84.6322395
39017010500,2417,Census Tract 105  Butler County  Ohio,39.431201,-84.54116040000001
39017010600,3729,Census Tract 106  Butler County  Ohio,39.4555598,-84.53012829999999
39017010800,6470,Census Tract 108  Butler County  Ohio,39.3502179,-84.6473017
39017010901,4319,Census Tract 109.01  Butler County  Ohio,39.3496174,-84.57851
39017010903,4955,Census Tract 109.03  Butler County  Ohio,39.3221234,-84.5509804
39017010904,3399,Census Tract 109.04  Butler County  Ohio,39.3446305,-84.5488545
39017010906,7738,Census Tract 109.06  Butler County  Ohio,39.34536,-84.53040949999999
39017010907,2482,Census Tract 109.07  Butler County  Ohio,39.3122356,-84.53232779999999
39017010908,5320,Census Tract 109.08  Butler County  Ohio,39.3208243,-84.5134592
39017010909,5301,Census Tract 109.09  Butler County  Ohio,39.3324367,-84.49192679999999
39017010910,4745,Census Tract 109.10  Butler County  Ohio,39.3211424,-84.5716085
39017010911,3863,Census Tract 109.11  Butler County  Ohio,39.323082,-84.5963137
39017011002,12598,Census Tract 110.02  Butler County  Ohio,39.4171773,-84.5074183
39017011003,6686,Census Tract 110.03  Butler County  Ohio,39.3751204,-84.49074820000001
39017011004,6092,Census Tract 110.04  Butler County  Ohio,39.3680292,-84.5165149
39017011109,4491,Census Tract 111.09  Butler County  Ohio,39.3443044,-84.3800719
39017011110,5546,Census Tract 111.10  Butler County  Ohio,39.324306400000005,-84.3827936
39017011111,6956,Census Tract 111.11  Butler County  Ohio,39.32893370000001,-84.3593751
39017011112,5740,Census Tract 111.12  Butler County  Ohio,39.366972499999996,-84.4506552
39017011116,8622,Census Tract 111.16  Butler County  Ohio,39.38022539999999,-84.4406405
